Animal_Type,Breed,Age,Gender,Weight,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,grooming_frequency,lifetime_cost,food_cost(per_year),longevity(years),food_allergies
Dog,Labrador,4,Male,25,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120,Parvovirus,Once a week,"$21,299 ",$466 ,12.04,"Chicken, Beef, Grains (wheat, corn)"
Cat,Siamese,2,Female,4.5,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9°C,150,Upper Respiratory Infection,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Beagle,1,Male,10,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,130,Gastroenteritis,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Persian,5,Male,3.8,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.7°C,160,Fungal Infection,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,German Shepherd,3,Female,30,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,110,Lyme Disease,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Maine Coon,2,Male,6,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,140,Intestinal Parasites,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Bulldog,5,Male,23,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,115,Canine Distemper,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Cat,Siamese,3,Female,5,5 days,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,130,Panleukopenia,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Poodle,2,Female,12,4 days,Yes,Yes,No,Yes,No,No,No,No,No,39.4°C,115,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Bengal,1,Male,4.2,3 days,Yes,Yes,Yes,No,No,No,No,No,No,38.8°C,140,Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Chihuahua,4,Female,3.5,2 days,Yes,Yes,Yes,Yes,No,No,No,No,No,39.1°C,130,Canine Parvovirus,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Ragdoll,3,Male,5,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.6°C,155,Ringworm,Once a week,"$17,000",$466,13.5,"Dairy, Chicken, Fish"
Dog,Siberian Husky,6,Male,28,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,120,Tick-Borne Disease,Once in a few weeks,"$22,049 ",$466 ,12.58,"Fish, Beef, Grains"
Cat,British Shorthair,5,Female,4.8,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.0°C,150,Upper Respiratory Infection,Once a week,"$16,000",$466,12.5,"Beef, Fish, Grains"
Dog,Poodle,2,Female,8,4 days,Yes,No,No,Yes,No,No,No,Yes,No,39.1°C,125,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Bengal,3,Male,5.5,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.3°C,140,Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Golden Retriever,4,Male,30,10 days,Yes,No,No,No,No,Yes,No,No,No,39.5°C,110,Arthritis,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Russian Blue,2,Female,4.5,5 days,No,No,No,Yes,No,No,No,Yes,Yes,38.8°C,150,Feline Herpesvirus,Once a week,"$15,000",$466,17.2,"Dairy, Beef, Fish"
Dog,Chihuahua,1,Male,3,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,135,Parvovirus,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Ragdoll,6,Male,6,2 weeks,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,160,Feline Leukemia,Once a week,"$17,000",$466,13.5,"Dairy, Chicken, Fish"
Dog,German Shepherd,5,Male,30,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.6°C,125,Heartworm Disease,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Maine Coon,6,Female,7.5,4 days,Yes,Yes,Yes,No,No,Yes,No,No,No,38.9°C,145,Feline Infectious Peritonitis,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Beagle,2,Female,9,3 days,Yes,Yes,No,No,No,Yes,Yes,No,No,39.2°C,132,Canine Distemper,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Persian,8,Male,4.6,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.0°C,140,Conjunctivitis,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Dachshund,7,Male,5.5,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.5°C,120,Chronic Bronchitis,Once a week,"$20,113 ",$324 ,12.63,"Beef, Chicken, Grains"
Cat,Sphynx,4,Female,3.2,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,150,Feline Upper Respiratory Infection,daily,"$18,000",$500,13.8,"Chicken, Fish, Grains"
Dog,Golden Retriever,4,Female,28,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.2°C,130,Parvovirus,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,British Shorthair,3,Male,5.5,4 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.7°C,145,Feline Upper Respiratory Infection,Once a week,"$16,000",$466,12.5,"Beef, Fish, Grains"
Dog,Bulldog,5,Male,22,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,39.6°C,138,Gastroenteritis,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Cat,Siamese,2,Female,4,2 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,135,Feline Herpesvirus,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Poodle,8,Male,15,1 week,Yes,No,Yes,No,Yes,No,No,No,Yes,39.3°C,126,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Abyssinian,5,Female,4.5,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.5°C,142,Pancreatitis,Once a week,"$16,000",$466,12.05,"Chicken, Fish, Wheat"
Dog,Husky,9,Male,25,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1°C,124,Canine Parvovirus,Once in a few weeks,"$22,049 ",$466 ,12.58,"Fish, Beef, Grains"
Cat,Ragdoll,4,Female,5,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,148,Feline Calicivirus,Once a week,"$17,000",$466,13.5,"Dairy, Chicken, Fish"
Dog,Border Collie,3,Female,17,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,39.4°C,129,Bordetella Infection,Once a week,"$20,143 ",$324 ,12.52,"Chicken, Beef, Grains"
Cat,Devon Rex,6,Male,4.2,9 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,146,Inflammatory Bowel Disease,Once a week,"$16,500",$466,14.05,"Dairy, Beef, Fish"
Dog,Chihuahua,3,Male,2.5,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.5°C,131,Allergic Rhinitis,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Sphynx,5,Female,3,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.7°C,143,Gastroenteritis,daily,"$18,000",$500,13.8,"Chicken, Fish, Grains"
Dog,Dachshund,7,Female,8,3 days,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,39.2°C,120,Gastroenteritis,Once a week,"$20,113 ",$324 ,12.63,"Beef, Chicken, Grains"
Cat,Maine Coon,9,Male,6.5,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,39.0°C,140,Feline Renal Disease,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Labrador Retriever,11,Male,35,7 days,Yes,No,No,Yes,No,Yes,No,Yes,No,39.3°C,118,Canine Distemper,Once a week,"$21,299 ",$466 ,12.04,"Chicken, Beef, Grains (wheat, corn)"
Cat,Persian,8,Female,5,4 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,147,Feline Viral Rhinotracheitis,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,German Shepherd,6,Female,30,6 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.4°C,125,Kennel Cough,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Scottish Fold,4,Male,4.8,5 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.7°C,137,Feline Herpesvirus,Once a week,"16,000",$466,12.5,"Dairy, Chicken, Beef"
Dog,Beagle,5,Male,10,3 days,Yes,Yes,No,No,No,Yes,No,Yes,No,39.2°C,132,Gastroenteritis,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Bengal,3,Female,4.2,6 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.1°C,145,Feline Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Rottweiler,7,Female,35,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,127,Parvovirus,Once a week,"$18,886 ",$710 ,9.11,"Chicken, Beef, Dairy, Grains"
Cat,Siberian,2,Male,5.5,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6°C,144,Feline Calicivirus,Once a week,"$18,000",$466,14,"Chicken, Fish, Dairy"
Dog,Shih Tzu,4,Female,7,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,133,Canine Flu,Daily,"$21,152 ",$324 ,13.2,"Beef, Chicken, Dairy, Grains"
Cat,American Curl,5,Male,3.7,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,38.8°C,148,Pancreatitis,Once a week,"$16,000",$466,11.08,"Chicken, Fish, Grains"
Dog,Chihuahua,9,Male,2,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,128,Gastroenteritis,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Manx,4,Female,3.3,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5°C,138,Feline Herpesvirus,Once a week,"$14,000",$466,12.06,"Dairy, Beef, Chicken"
Dog,Dalmatian,8,Female,20,4 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.0°C,120,Pancreatitis,Once a week,"$19,886 ",$466 ,11.27,"Beef, Chicken, Dairy"
Cat,Bombay,6,Male,4,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.9°C,149,Hyperthyroidism,Once a week,"$14,000",$466,12,"Fish, Dairy, Wheat"
Dog,Akita,6,Male,35,6 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5°C,130,Canine Hepatitis,Once a week,"$20,994 ",$710 ,10.16,"Beef, Chicken, Grains"
Cat,British Shorthair,7,Female,4.4,4 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,142,Upper Respiratory Infection,Once a week,"$16,000",$466,12.5,"Beef, Fish, Grains"
Dog,Boxer,8,Female,27,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.2°C,131,Gastroenteritis,Once a week,"$15,746 ",$466 ,8.81,"Beef, Chicken, Grains"
Cat,Abyssinian,4,Male,4.5,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,38.8°C,140,Feline Calicivirus,Once a week,"$16,000",$466,12.05,"Chicken, Fish, Wheat"
Dog,Golden Retriever,5,Male,32,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.2°C,130,Gastroenteritis,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Persian,7,Female,4.1,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.9°C,142,Feline Upper Respiratory Infection,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Dachshund,4,Female,9,3 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.0°C,132,Parvovirus,Once a week,"$20,113 ",$324 ,12.63,"Beef, Chicken, Grains"
Cat,Siamese,6,Male,4.2,4 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,38.7°C,140,Feline Calicivirus,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Corgi,5,Male,11,3 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,134,Pancreatitis,Once a week,"$23,978 ",$674 ,12.25,"Beef, Dairy, Grains"
Cat,Burmese,8,Female,4.5,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.6°C,139,Feline Viral Rhinotracheitis,Once a week,"$16,000",$466,12.02,"Fish, Dairy, Beef, Grains"
Dog,Poodle,7,Female,15,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.1°C,125,Canine Parvovirus,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Maine Coon,5,Male,5.2,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.8°C,140,Feline Respiratory Disease Complex,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Shih Tzu,8,Female,8,5 days,Yes,No,Yes,Yes,No,No,No,No,Yes,39.0°C,130,Canine Hepatitis,Daily,"$21,152 ",$324 ,13.2,"Beef, Chicken, Dairy, Grains"
Cat,Scottish Fold,4,Male,4.3,3 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.7°C,143,Feline Rhinotracheitis,Once a week,"16,000",$466,12.5,"Dairy, Chicken, Beef"
Dog,Beagle,6,Male,13,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4°C,127,Kennel Cough,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Russian Blue,5,Female,4.7,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.6°C,145,Feline Respiratory Infection,Once a week,"$15,000",$466,17.2,"Dairy, Beef, Fish"
Dog,Golden Retriever,7,Male,30,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,118,Canine Parvovirus,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Sphynx,4,Male,5.2,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.1°C,148,Feline Infectious Peritonitis,daily,"$18,000",$500,13.8,"Chicken, Fish, Grains"
Dog,Rottweiler,5,Female,42,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,120,Canine Parvovirus,Once a week,"$18,886 ",$710 ,9.11,"Chicken, Beef, Dairy, Grains"
