Animal_Type,Breed,Age,Gender,Weight,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,grooming_frequency,lifetime_cost,food_cost(per_year),longevity(years),food_allergies
Cat,Bengal,3,Male,5.5,5 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.9°C,140,Feline Calicivirus,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Doberman Pinscher,6,Male,40,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,119,Canine Distemper,Once a week,"$18,397 ",$466 ,10.33,"Chicken, Beef, Grains"
Cat,Siamese,4,Female,4.2,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8°C,145,Feline Leukemia Virus,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Pit Bull,4,Female,35,3 days,Yes,Yes,No,Yes,No,Yes,No,No,No,39.0°C,125,Leptospirosis,Once a week,"$15,000",$500,12.3,"Chicken, Beef, Grains, Dairy"
Cat,Persian,5,Male,5,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,38.9°C,148,Feline Herpesvirus,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Cocker Spaniel,5,Female,20,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.2°C,123,Canine Leptospirosis,Once a week,"$24,330 ",$674 ,12.5,"Chicken, Beef, Grains"
Cat,Scottish Fold,4,Male,4.8,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.8°C,147,Feline Chlamydia,Once a week,"16,000",$466,12.5,"Dairy, Chicken, Beef"
Dog,German Shepherd,4,Female,45,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,39.4°C,120,Canine Parvovirus,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Maine Coon,3,Male,7.5,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.1°C,148,Feline Infectious Peritonitis,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Poodle,6,Male,25,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,110,Canine Distemper,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Russian Blue,3,Female,4.8,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,38.9°C,145,Feline Leukemia Virus,Once a week,"$15,000",$466,17.2,"Dairy, Beef, Fish"
Dog,Golden Retriever,7,Male,33,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,39.2°C,118,Canine Leptospirosis,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Burmese,4,Male,4.3,3 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,39.0°C,150,Feline Calicivirus,Once a week,"$16,000",$466,12.02,"Fish, Dairy, Beef, Grains"
Dog,Bulldog,5,Female,18,5 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.3°C,115,Kennel Cough,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Cat,Siamese,6,Male,5.5,4 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.0°C,149,Feline Infectious Peritonitis,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Beagle,4,Female,15,4 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,39.2°C,125,Canine Influenza,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Bengal,3,Male,5,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.0°C,140,Feline Calicivirus,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Chihuahua,3,Male,6,2 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,39.0°C,118,Canine Parvovirus,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Scottish Fold,5,Female,4.7,6 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,38.9°C,150,Feline Infectious Peritonitis,Once a week,"16,000",$466,12.5,"Dairy, Chicken, Beef"
Dog,Rottweiler,5,Female,40,4 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.3°C,122,Canine Distemper,Once a week,"$18,886 ",$710 ,9.11,"Chicken, Beef, Dairy, Grains"
Cat,Abyssinian,3,Male,4.6,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,No,39.0°C,142,Feline Leukemia Virus,Once a week,"$16,000",$466,12.05,"Chicken, Fish, Wheat"
Dog,Golden Retriever,7,Male,30,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,39.0°C,130,Canine Distemper,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Persian,6,Female,4.2,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.1°C,148,Feline Coronavirus,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Poodle,3,Female,20,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,120,Parvovirus,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Maine Coon,5,Male,8.5,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.1°C,145,Feline Upper Respiratory Infection,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,German Shepherd,4,Male,32,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1°C,130,Canine Hepatitis,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Sphynx,3,Female,5,4 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.0°C,155,Feline Rhinotracheitis,daily,"$18,000",$500,13.8,"Chicken, Fish, Grains"
Dog,Bulldog,3,Female,25,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2°C,125,Canine Leptospirosis,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Cat,Russian Blue,2,Male,6,3 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,145,Feline Asthma,Once a week,"$15,000",$466,17.2,"Dairy, Beef, Fish"
Dog,Beagle,5,Male,25,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.2°C,120,Kennel Cough,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Bengal,3,Female,6,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.1°C,145,Feline Herpesvirus,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Chihuahua,4,Female,5,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1°C,110,Canine Parvovirus,Once a week,"$26,250 ",$324 ,16.5,"Beef, Chicken, Dairy, Grains"
Cat,Siberian,7,Male,10.2,5 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,39.0°C,135,Feline Asthma,Once a week,"$18,000",$466,14,"Chicken, Fish, Dairy"
Dog,Boxer,6,Female,30,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,115,Canine Leptospirosis,Once a week,"$15,746 ",$466 ,8.81,"Beef, Chicken, Grains"
Cat,Abyssinian,5,Male,4.5,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,140,Feline Respiratory Disease Complex,Once a week,"$16,000",$466,12.05,"Chicken, Fish, Wheat"
Dog,Yorkshire Terrier,4,Male,8,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2°C,100,Canine Heartworm Disease,Daily,"$20,701 ",$324 ,12.6,"Chicken, Beef, Grains"
Cat,Maine Coon,6,Female,10,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.1°C,145,Feline Leukemia,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Rottweiler,7,Male,35,4 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,110,Kennel Cough,Once a week,"$18,886 ",$710 ,9.11,"Chicken, Beef, Dairy, Grains"
Cat,Persian,4,Female,7,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,125,Feline Infectious Peritonitis,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Golden Retriever,5,Male,40,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,130,Canine Parvovirus,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Cat,Bengal,3,Female,8,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.0°C,145,Feline Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Beagle,4,Female,25,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.2°C,120,Distemper,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Siberian,5,Male,11,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.2°C,140,Feline Leukemia Virus,Once a week,"$18,000",$466,14,"Chicken, Fish, Dairy"
Dog,Chihuahua,3,Male,6,5 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.3°C,135,Parvovirus,Once a week,"$21,237 ",$466 ,11.95,"Beef, Chicken, Dairy, Grains"
Cat,Burmese,4,Female,7.5,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.0°C,140,Feline Chlamydiosis,Once a week,"$16,000",$466,12.02,"Fish, Dairy, Beef, Grains"
Dog,Poodle,3,Female,28,5 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,120,Kennel Cough,Once a week,"$21,237 ",$466 ,11.95,"Chicken, Beef, Grains (wheat, corn)"
Cat,Maine Coon,4,Male,10,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,39.0°C,140,Feline Leukemia Virus,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Beagle,4,Male,20,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,130,Canine Distemper,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Siamese,3,Female,7,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.0°C,140,Feline Infectious Peritonitis,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Dachshund,3,Female,12,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.0°C,115,Canine Parvovirus,Once a week,"$20,113 ",$324 ,12.63,"Beef, Chicken, Grains"
Cat,Bengal,4,Male,10,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,39.2°C,145,Feline Panleukopenia,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Bulldog,5,Female,22,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.3°C,120,Canine Cough,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
Dog,Shih Tzu,4,Male,8,4 days,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,39.2°C,115,Parvovirus,Daily,"$21,152 ",$324 ,13.2,"Beef, Chicken, Dairy, Grains"
Cat,Abyssinian,2,Female,6,4 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1°C,140,Feline Infectious Peritonitis,Once a week,"$16,000",$466,12.05,"Chicken, Fish, Wheat"
Dog,Cocker Spaniel,2,Female,10,3 days,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,39.0°C,125,Distemper,Once a week,"$24,330 ",$674 ,12.5,"Chicken, Beef, Grains"
Cat,Ragdoll,5,Male,8,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.2°C,145,Feline Leukemia Virus,Once a week,"$17,000",$466,13.5,"Dairy, Chicken, Fish"
Dog,Rottweiler,3,Female,30,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.2°C,120,Leptospirosis,Once a week,"$18,886 ",$710 ,9.11,"Chicken, Beef, Dairy, Grains"
Cat,Bengal,4,Male,7,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.1°C,135,Feline Immunodeficiency Virus,Once a week,"$18,000",$466,12.04,"Fish, Chicken, Grains"
Dog,Chihuahua,2,Male,6,3 days,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,39.3°C,130,Canine Distemper,Once a week,"$21,237 ",$466 ,11.95,"Beef, Chicken, Dairy, Grains"
Cat,Maine Coon,6,Male,9,5 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,39.4°C,140,Feline Herpesvirus,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Beagle,2,Male,10,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,120,Canine Leptospirosis,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Persian,4,Female,7,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.0°C,130,Feline Asthma,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Boxer,3,Female,30,4 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,39.3°C,120,Canine Infectious Hepatitis,Once a week,"$15,746 ",$466 ,8.81,"Beef, Chicken, Grains"
Cat,Maine Coon,5,Male,8,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,135,Feline Panleukopenia Virus,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Golden Retriever,5,Male,35,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2°C,110,Canine Parvovirus,Once a week,"$21,447 ",$466 ,12.04,"Chicken, Beef, Grains, Dairy"
Dog,Labrador,4,Male,30,5 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.2°C,100,Canine Parvovirus,Once a week,"$21,299 ",$466 ,12.04,"Chicken, Beef, Grains (wheat, corn)"
Cat,Persian,3,Female,5,4 days,Yes,Yes,No,Yes,No,No,No,Yes,No,39.1°C,110,Feline Calicivirus,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,Labrador,4,Male,25,3 days,Yes,Yes,No,No,No,No,No,No,No,39.5°C,120,Parvovirus,Once a week,"$21,299 ",$466 ,12.04,"Chicken, Beef, Grains (wheat, corn)"
Cat,Siamese,2,Female,4.5,1 week,No,No,No,Yes,No,No,No,Yes,Yes,38.9°C,150,Upper Respiratory Infection,once a week,"$15,000",$466,12.04,"Fish, Dairy, Wheat"
Dog,Beagle,1,Male,10,2 days,Yes,Yes,Yes,No,No,No,No,No,No,39.2°C,130,Gastroenteritis,Daily,"$19,468 ",$324 ,12.3,"Chicken, Beef, Dairy, Grains"
Cat,Persian,5,Male,3.8,2 weeks,Yes,No,No,No,No,No,Yes,No,No,38.7°C,160,Fungal Infection,daily,"$21,299",$500,12.04,"Beef, Dairy, Chicken"
Dog,German Shepherd,3,Female,30,7 days,Yes,No,No,No,No,Yes,Yes,No,No,39.3°C,110,Lyme Disease,Once a week,"$17,416 ",$466 ,9.73,"Chicken, Beef, Dairy, Grains"
Cat,Maine Coon,2,Male,6,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,140,Intestinal Parasites,Twice a week,"$18,000",$500,12.04,"Fish, Dairy, Grains"
Dog,Bulldog,5,Male,23,6 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.0°C,115,Canine Distemper,Once a week,"$13,479 ",$466 ,6.29,"Chicken, Beef, Dairy, Grains"
